ClienteID;CNPJ;Nome_Loja;Cidade;UF;Status
1;10737685000107;ECONOMIZE - MAYCON 01;;;ATIVO
1;10737685000379;ECONOMIZE - MAYCON 03;;;ATIVO
1;10737685000450;ECONOMIZE - MAYCON 04;;;ATIVO
1;10737685000530;ECONOMIZE - MAYCON 05;;;ATIVO
