Ranking;EmpresaID;Empresa;EAN;Produto;Laboratório;Categoria;Curva;Ação;Preço_Atual;Preço_Recomendado;Variação_Pct;Margem_Atual;Margem_Recomendada;Preço_Concorrente;Estoque;Ganho_Estimado;Score_IA;Motivo;Data_Hora
31;1;ECONOMIZE - MAYCON;7896112147640;AERODINI SPRAY 200 DOSES;TEUTO;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.6800137201657853;0.0;28.65;32.0;2437.99;72.11;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
32;1;ECONOMIZE - MAYCON;7896112134213;CEFALEXINA 500MG 10 COMP;TEUTO;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8788617536309845;0.0;20.0;52.0;2173.55;72.06;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
33;1;ECONOMIZE - MAYCON;7891317001414;TESTOSTERONA 250MG 1AMP;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.4784552902855078;0.0;555.12;11.0;7109.34;72.03;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
34;1;ECONOMIZE - MAYCON;7896523216812;PILULAS-DIAD C/1 CPR (CIMED);CIMED;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.919044518569953;0.0;10.0;498.0;1596.85;71.86;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
35;1;ECONOMIZE - MAYCON;7898565164533;FOSF OSELTAMIVIR 75MG C/10;NATCOFARMA DO BRASIL LTDA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3795851016717717;0.0;192.64;14.0;4025.88;71.81;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
36;1;ECONOMIZE - MAYCON;7896026306751;GLYXAMBI 25MG5MG 30S;BOEHRINGER INGELHEIM DO BRASIL;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5274789043082689;0.0;465.73;11.0;5363.02;71.78;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
37;1;ECONOMIZE - MAYCON;7891317124038;OLMESARTANA MEDOXOMILA+HCT 40 MG+25 MG C/ 30 CPRS;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6750966169213389;0.0;72.3;22.0;2583.16;71.77;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
38;1;ECONOMIZE - MAYCON;7896331705096;BOLDO + ASS HEPATILON FLAC  C/60 10ML;HERTZ;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.6429982424033776;0.0;3.69;458.0;1515.48;71.76;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
39;1;ECONOMIZE - MAYCON;7908134200712;REGENESIS PREMIUM LIPINOVA  C/ 60 CAPS;EXELTIS;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3811412227370118;0.0;151.99;16.0;3049.92;71.67;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
40;1;ECONOMIZE - MAYCON;7899095264182;STOMALIV ABACAXI 5G UND;GEOLAB;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.4981527149900874;0.0;0.99;1346.0;1437.86;71.65;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
41;1;ECONOMIZE - MAYCON;7908738903040;*SEAME VITAMINA C 30 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6682780463410569;0.0;59.99;43.0;1767.92;71.56;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
42;1;ECONOMIZE - MAYCON;7891317476465;ESCITALOPRAM 10MG C/30 CPR(EURO);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8533268707011956;0.0;69.72;18.0;2682.17;71.5;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
43;1;ECONOMIZE - MAYCON;7898650423613;*NEUROPLUS VIT C  C/ 30 CPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7778642071341261;0.0;89.99;21.0;2344.32;71.48;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
44;1;ECONOMIZE - MAYCON;7891142115492;ALIVIUM 100 MG/ML GTS 20 ML***;HYPERA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5261747783402587;0.0;48.82;112.0;1452.15;71.48;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
45;1;ECONOMIZE - MAYCON;7891317134303;QUETIAPINA 50MG C/30 CPR;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.4874255124906631;0.0;189.05;10.0;5064.02;71.42;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
46;1;ECONOMIZE - MAYCON;7898650423101;*OMEGA AZ 60 CAPS 1000 MG;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6925;0.0;120.0;30.0;1897.2;71.37;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
47;1;ECONOMIZE - MAYCON;7908738903071;CALCIO MDK 60 CAPS(FORHELTH);FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7020000000000001;0.0;100.0;31.0;1808.5;71.35;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
48;1;ECONOMIZE - MAYCON;7898650422999;*OMEGA 3-6-9 C/60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6922435362802335;0.0;119.9;24.0;1930.8;71.27;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
49;1;ECONOMIZE - MAYCON;7899547500233;ORLISTATE 120MG C/42;PRATI DONADUZZI;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.664940324186288;0.0;95.0;12.0;3404.6;71.25;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
50;1;ECONOMIZE - MAYCON;7891317026554;BEDOZE 5MG/ML SOL C/2AMP 1ML;EUROFARMA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.1410620882048594;0.0;22.21;38.0;1601.87;71.24;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
51;1;ECONOMIZE - MAYCON;7891317453008;DOMPERIDONA 10MG C/60 COMP;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.76158166954007;0.0;42.54;32.0;1732.6;71.22;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
52;1;ECONOMIZE - MAYCON;7898650422968;*OMEGA 3 C/120 CAPS 1000 MG;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.676551724137931;0.0;145.0;18.0;2230.98;71.1;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
53;1;ECONOMIZE - MAYCON;7891317000509;DESVENLAFAXINA 50MG C/30 CP(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7777586088861504;0.0;164.54;12.0;3236.27;71.06;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
54;1;ECONOMIZE - MAYCON;7891317422042;AMOX+CLAV 875+125MG C/14 CPR(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.672777799072406;0.0;101.42;18.0;2160.27;71.03;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
55;1;ECONOMIZE - MAYCON;7896112196846;CLINDAMIN C 300 MG C 16 CAP;TEUTO;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7957976426329497;0.0;109.85;16.0;2244.28;70.97;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
56;1;ECONOMIZE - MAYCON;7891058002961;CETOPROFENO 150MG C/10CPR;MEDLEY;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7073536140350878;0.0;25.0;57.0;1433.96;70.95;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
57;1;ECONOMIZE - MAYCON;7896382709111;MOUNJARO 2,5MG C/4 S;ELI LILLY  DO BRASIL LTDA.;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2436528830873144;0.0;1765.3;6.0;6275.49;70.88;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
58;1;ECONOMIZE - MAYCON;7891317022532;PROSSO D+ KM 2000UI C 30 CPR;MOMENTA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3232987964677012;0.0;174.43;16.0;2158.62;70.88;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
59;1;ECONOMIZE - MAYCON;7891317017651;RIVAROXABANA 10MG C/30 CPRS;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8675277953538824;0.0;271.94;12.0;2797.98;70.8;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
60;1;ECONOMIZE - MAYCON;7891317463076;CLORIDRATO DE VENLAFAXINA 150 MG C/30 CAPS;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.773720909416398;0.0;192.5;9.0;3304.0;70.62;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
61;1;ECONOMIZE - MAYCON;7896714214399;NAPROXENO 550 NEG 20S;NEO QUIMICA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5618506793668581;0.0;71.39;15.0;2042.93;70.59;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
62;1;ECONOMIZE - MAYCON;7896004774947;VOLIG 8 MG C/10 CPRS;MULTILAB;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.804139902555434;0.0;35.0;16.0;1903.72;70.57;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
63;1;ECONOMIZE - MAYCON;7892325230421;MOUNJARO C/60;MULTILYFE;PRINCIPAL > SUPLEMENTOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5932110236220473;0.0;157.93;13.0;2256.3;70.56;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
64;1;ECONOMIZE - MAYCON;7891317420338;PAROXETINA 20MG C/30 CPR;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.840105886587312;0.0;81.34;23.0;1595.71;70.52;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
65;1;ECONOMIZE - MAYCON;7891317139384;PREGABALINA  75MG C/30CAPS;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8249895446096654;0.0;65.0;15.0;1957.12;70.48;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
66;1;ECONOMIZE - MAYCON;7898907312646;HORA H 1,5 MG C/ 1 CP;BIOSINTETICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8639580012650221;0.0;10.0;40.0;1315.52;70.46;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
67;1;ECONOMIZE - MAYCON;7891317444921;AZITROMICINA 500MG 5CP REV;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7452900714996833;0.0;36.83;30.0;1401.71;70.37;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
68;1;ECONOMIZE - MAYCON;7891317411909;PERCOF 30 MG/5 ML XPE 120 ML;SUPERA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3292486364747822;0.0;46.07;59.0;1116.48;70.33;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
69;1;ECONOMIZE - MAYCON;7908738903057;*SEAME FERRO;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7157142857142856;0.0;70.0;22.0;1444.14;70.21;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
70;1;ECONOMIZE - MAYCON;7891317015060;KOIDE D XPE  120ML;MOMENTA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3502528014583668;0.0;51.78;30.0;1262.4;70.19;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
71;1;ECONOMIZE - MAYCON;7899095202498;ALBEL 400MG ALBENDAZOL C 5 CP;GEOLAB;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8617509828680943;0.0;46.43;38.0;1239.27;70.14;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
72;1;ECONOMIZE - MAYCON;7896004705682;INFRALAX C/ 30 CPRS;EMS;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8087487500559138;0.0;20.0;43.0;1177.99;70.06;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
73;1;ECONOMIZE - MAYCON;7891317036744;NITAZOXANIDA 20 MG/ML SOL C/ 100 ML;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7134478177842969;0.0;62.36;23.0;1278.66;69.91;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
74;1;ECONOMIZE - MAYCON;7896382709135;MOUNJARO 5MG INJ +4CANETA APLICADORA GLP1;ELI LILLY  DO BRASIL LTDA.;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2599328284774549;0.0;2206.83;4.0;5096.67;69.9;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
75;1;ECONOMIZE - MAYCON;7896472501823;MULTIGRIP,CPS C20;MULTILAB;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.4142446637265052;0.0;20.05;119.0;936.55;69.88;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
76;1;ECONOMIZE - MAYCON;7891106910248;BEPANTOL BABY 120 G;BAYER;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3585765015952282;0.0;64.99;18.0;1407.52;69.87;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
77;1;ECONOMIZE - MAYCON;7893454100647;CETOC+BETAM+NEO-CETOBETA POM DERM 30G;DELTA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7711428355684427;0.0;28.0;24.0;1235.73;69.74;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
78;1;ECONOMIZE - MAYCON;7896094201477;NATIFA PRO 1 MG+0,5 MG C/ 28 CP REV;LIBBS FARMACEUTICA LTDA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3185189151069362;0.0;98.07;13.0;1631.3;69.71;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
79;1;ECONOMIZE - MAYCON;7896311778041;CRISP BARRA OVOMALTINE  1 UNID;INTEGRALMEDICA;PRINCIPAL > SUPLEMENTOS;Não informado;Revisar margem;0.0;0.0;0.0;0.4262915877738706;0.0;8.99;215.0;863.23;69.67;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
80;1;ECONOMIZE - MAYCON;7896382709159;MOUNJARO 7,5MG C/4 S;ELI LILLY  DO BRASIL LTDA.;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.301332709922565;0.0;2766.26;3.0;5236.89;69.64;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
81;1;ECONOMIZE - MAYCON;7891317430368;VENLAFAXINA 75MG C/30 CAP(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.767090877437326;0.0;111.34;10.0;1868.47;69.55;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
82;1;ECONOMIZE - MAYCON;7898650425402;*VITAMINA D 500MG C/ 60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7305882352941175;0.0;85.0;17.0;1315.21;69.5;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
83;1;ECONOMIZE - MAYCON;7896714273006;MASSAGEOL AERO 120ML;NEO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7247548636899223;0.0;43.0;13.0;1557.78;69.45;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
84;1;ECONOMIZE - MAYCON;7897595624642;AMOX+CLAV 500+125MG C/21 CPR(SAND);SANDOZ;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6116965057809948;0.0;79.99;10.0;1734.34;69.43;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
85;1;ECONOMIZE - MAYCON;7898569765149;VITAMINA D3 10.000UI C/30 CPS;ALTHAIA S.A IND FARMACEUTICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8091239271094679;0.0;148.12;10.0;1747.83;69.42;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
86;1;ECONOMIZE - MAYCON;7896523220352;FEXOFENADINA 180 MG C/ 10 CP;CIMED;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.9136096179411596;0.0;44.0;10.0;1712.57;69.24;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
87;1;ECONOMIZE - MAYCON;7893736010053;ENXAK C/ 12 CP;CAZI;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.5161884431843469;0.0;18.0;56.0;867.93;69.18;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
88;1;ECONOMIZE - MAYCON;7891317016265;NITAZOXANIDA 500MG C/6 COMP EUR;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.731229987325306;0.0;59.56;16.0;1218.36;69.07;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
89;1;ECONOMIZE - MAYCON;7896714270029;NEOPIRIDIN 60 MG + 7,5 MG/ML SPRAY 50 ML;NEO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.6870517251147245;0.0;32.0;24.0;991.39;69.01;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
90;1;ECONOMIZE - MAYCON;7891317140854;MONTELUCASTE 10MG C/30 CPR(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7686159722004821;0.0;78.65;14.0;1259.45;68.89;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
91;1;ECONOMIZE - MAYCON;7891106915977;DIU MIRENA 1 SIU+INSERTOR;BAYER;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3232562447675766;0.0;1684.21;3.0;3207.92;68.88;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
92;1;ECONOMIZE - MAYCON;7896641812811;INZELM 20MG C/30 CPRS;TAKEDA PHARMA LTDA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2765255754612803;0.0;266.46;7.0;1716.49;68.85;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
93;1;ECONOMIZE - MAYCON;7896112104070;VENAFLON 900+100MG C/ 60 CPR;TEUTO;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.690829888954496;0.0;159.99;9.0;1538.52;68.77;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
94;1;ECONOMIZE - MAYCON;7894916512022;SOMALGIN CARDIO 100MG C/60CP;EMS SIGMA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3404930629362593;0.0;49.34;28.0;886.46;68.77;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
95;1;ECONOMIZE - MAYCON;7896523207803;DICLOFENACO DIETILAMONIO GEL 60 G(CIMED);CIMED;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7949596280890628;0.0;18.0;33.0;853.3;68.69;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
96;1;ECONOMIZE - MAYCON;7891000071625;LEITE NAN COMFOR 1 (0-6) 800 GRS;NESTLE;PRINCIPAL > LEITE;Não informado;Revisar margem;0.0;0.0;0.0;0.220905160709297;0.0;63.99;17.0;994.89;68.64;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
97;1;ECONOMIZE - MAYCON;7898650425426;*AZ SENIOR C/60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7500750075007501;0.0;99.99;24.0;905.69;68.63;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
98;1;ECONOMIZE - MAYCON;7898040321512;ANNITA 500 MG C/6 CPRS;FARMOQUIMICA S.A.;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3115969863507855;0.0;76.0;14.0;1109.63;68.6;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
99;1;ECONOMIZE - MAYCON;7891317017422;PANTOPRAZOL 40MG C/28 CPR(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8472883675464321;0.0;51.15;1.0;4257.21;68.47;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
100;1;ECONOMIZE - MAYCON;7896261020306;ENTRESTO 100MG CPD/6;NOVARTIS;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3626654561960962;0.0;433.13;6.0;1645.54;68.42;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
101;1;ECONOMIZE - MAYCON;7896004801216;CYSTEX C/ 24 DRG(EMS);EMS;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.3949554665935159;0.0;38.85;17.0;941.72;68.39;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
102;1;ECONOMIZE - MAYCON;7896261020269;PBM ENTRESTO 50MG C/ 28 CP;NOVARTIS;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3275742732355467;0.0;202.11;11.0;1209.6;68.37;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
103;1;ECONOMIZE - MAYCON;7896658008023;DIGEPLUS C/ 30 CAPS;ACHE;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2918689596078353;0.0;55.75;27.0;820.25;68.36;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
104;1;ECONOMIZE - MAYCON;7899095201972;ALBENDAZOL-ALBEL 10ML;GEOLAB;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8007834022940344;0.0;12.52;61.0;734.59;68.36;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
