Ranking;EmpresaID;Empresa;EAN;Produto;Laboratório;Categoria;Curva;Ação;Preço_Atual;Preço_Recomendado;Variação_Pct;Margem_Atual;Margem_Recomendada;Preço_Concorrente;Estoque;Ganho_Estimado;Score_IA;Motivo;Data_Hora
124;1;ECONOMIZE - MAYCON;7898687730500;IBUPROFENO 600MG 10'S;ALTHAIA S.A IND FARMACEUTICA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5221502794271743;0.0;32.72;14.0;834.42;67.36;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
125;1;ECONOMIZE - MAYCON;7590002032817;VICK VAPORUB UNG 30 G;PROCTER & GAMBLE;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3683243189186913;0.0;49.0;20.0;693.83;67.29;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
126;1;ECONOMIZE - MAYCON;7899420505690;ALONG-C CURCUMA 30 CAPS;SUPERA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3766548809523809;0.0;192.99;4.0;1449.8;67.28;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
127;1;ECONOMIZE - MAYCON;7896641809026;DEXILANT 60MG C/30 CP;TAKEDA PHARMA LTDA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2835457281728939;0.0;133.05;7.0;1070.12;67.25;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
128;1;ECONOMIZE - MAYCON;7891317017378;SERTRALINA 25MG C/30 CPR;EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6673469277028684;0.0;80.69;11.0;893.13;67.21;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
129;1;ECONOMIZE - MAYCON;7899095203235;ALBENDAZOL 40 MG/ML SUSP 10 ML(GEO);GEOLAB;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7352737752161385;0.0;9.0;41.0;581.24;67.21;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
130;1;ECONOMIZE - MAYCON;7896181918943;ALENIA 12/400MCG 60REF;ACHE;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3346294137045673;0.0;161.2;6.0;1152.99;67.19;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
131;1;ECONOMIZE - MAYCON;7896112128861;CEFALEXINA 250MG5ML 100ML TEU;TEUTO;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7350467775467775;0.0;57.72;15.0;773.1;67.08;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
132;1;ECONOMIZE - MAYCON;7908738902968;*SEAME CURCUMA 60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.687142857142857;0.0;70.0;22.0;672.11;67.07;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
133;1;ECONOMIZE - MAYCON;7891317485764;DUOMO HP 2MG + 5MG C/60 CPS;EUROFARMA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2980131875552849;0.0;205.38;8.0;963.33;67.06;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
